#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-19T09:07:42 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-19T09:07:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-out.all=2&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/475/359&utm_source=chatgpt.com&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34750359
#Name: J/A+A/475/359
#Title: Predicting radio fluxes of extrasolar planets (Griessmeier+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/a+a/475/359	    IVOID of underlying data collection
#INFO	creator=Griessmeier J.-M.	    First author or institution
#INFO	cites=bibcode:2007A&A...475..359G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/475/359	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34750359	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_475_359_table1:
#Name: J/A+A/475/359/table1
#Title: *Expected exoplanetary radio emission characteristics
#Column	Planet	(a17)	Planet name	[ucd=meta.id;meta.main]
#Column	Mass	(F4.1)	Estimated planetary mass relative to Jupiter	[ucd=phys.mass]
#Column	Rad	(F4.1)	Estimated planetary radius relative to Jupiter	[ucd=phys.size.radius;arith.ratio]
#Column	MM	(F4.1)	Estimated planetary magnetic moment relative to Jupiter	[ucd=phys.magField]
#Column	fc	(F5.1)	Expected maximum emission frequency	[ucd=em.freq]
#Column	fp	(F4.1)	Expected plasma frequency in the stellar wind at the orbital distance of the planet	[ucd=em.freq]
#Column	Phimag	(F6.1)	Expected radio flux density (magnetic energy case)	[ucd=phot.flux.density;em.radio]
#Column	Phikin	(F4.1)	Expected radio flux density (kinetic energy case)	[ucd=phot.flux.density;em.radio]
#Column	PhiCME	(F5.1)	Expected radio flux density (CME case)	[ucd=phot.flux.density;em.radio]
#Column	Stat	(A4)	Status of planet (1)	[ucd=meta.code]
#Column	Star	(a12)	Star associated with the planet (2)	[ucd=meta.id.assoc]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Planet;Mass;Rad;MM;fc;fp;Phimag;Phikin;PhiCME;Stat;Star;SimbadName;_RA;_DE
HD 107148 b      ; 0.2; 0.8; 0.2;  7.5; 0.1;   0.0; 0.0;  0.0;(FR);HD 107148   ;HD 107148 b      ;184.80621;-03.31979
HD 107148 b      ; 0.2; 0.8; 0.0;  0.6; 0.1;   0.0; 0.0;  0.1;(TL);HD 107148   ;HD 107148 b      ;184.80621;-03.31979
HD 108147 b      ; 0.5; 1.0; 0.0;  0.9; 1.7;  37.1; 1.1;  4.2; TL ;HD 108147   ;HD 108147 b      ;186.44279;-64.02209
HD 108874 b      ; 1.6; 1.1; 1.6; 30.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 108874   ;HD 108874 b      ;187.61201;+22.87983
HD 108874 c      ; 1.2; 1.0; 1.2; 24.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 108874   ;HD 108874 c      ;187.61201;+22.87983
HD 109749 b      ; 0.3; 0.9; 0.0;  1.0; 0.6;   6.1; 0.0;  1.1; TL ;HD 109749   ;HD 109749 b      ;189.31824;-40.81212
HD 111232 b      ; 7.9; 1.1; 4.3; 88.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 111232   ;HD 111232 b      ;192.21564;-68.42515
HD 114386 b      ; 1.1; 1.0; 1.2; 24.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 114386   ;HD 114386 b      ;197.66593;-35.05478
HD 114729 b      ; 0.9; 1.0; 1.0; 21.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 114729   ;HD 114729 b      ;198.18441;-31.87335
HD 114762 b      ;12.7; 1.0; 5.1;121.7; 0.0;   0.0; 0.0;  0.1; FR ;HD 114762   ;HD 114762 b      ;198.09083;+17.51697
HD 114783 b      ; 1.1; 1.0; 1.2; 24.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 114783   ;HD 114783 b      ;198.18244;-02.26504
HD 117207 b      ; 2.4; 1.1; 2.2; 40.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 117207   ;HD 117207 b      ;202.33797;-35.57100
HD 117618 b      ; 0.2; 0.8; 0.2;  7.2; 0.2;   0.0; 0.0;  0.1;(FR);HD 117618   ;HD 117618 b      ;203.10648;-47.27136
HD 117618 b      ; 0.2; 0.8; 0.0;  0.6; 0.2;   0.0; 0.0;  0.3;(TL);HD 117618   ;HD 117618 b      ;203.10648;-47.27136
HD 118203 b      ; 2.5; 1.2; 0.3;  4.7; 0.9;   8.0; 0.0;  0.8; TL ;HD 118203   ;HD 118203 b      ;203.51057;+53.72853
HD 11964 b       ; 0.1; 0.7; 0.1;  4.4; 0.1;   0.0; 0.0;  0.1;(FR);HD 11964    ;HD 11964 b       ;029.29003;-10.24243
HD 11964 b       ; 0.1; 0.7; 0.0;  0.4; 0.1;   0.0; 0.0;  0.3;(TL);HD 11964    ;HD 11964 b       ;029.29003;-10.24243
HD 11977 b       ; 7.6; 1.1; 4.3; 85.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 11977    ;HD 11977 b       ;028.73388;-67.64730
HD 121504 b      ; 1.0; 1.0; 1.1; 21.9; 0.2;   0.0; 0.1;  0.0;(FR);HD 121504   ;HD 121504 b      ;209.32182;-56.04004
HD 121504 b      ; 1.0; 1.0; 0.1;  1.8; 0.2;   0.0; 0.2;  0.1;(TL);HD 121504   ;HD 121504 b      ;209.32182;-56.04004
HD 122430 b      ; 4.3; 1.1; 3.3; 58.6; 0.1;   0.0; 0.0;  0.0; FR ;HD 122430   ;HD 122430 b      ;210.59492;-27.42978
HD 12661 b       ; 2.7; 1.1; 2.4; 42.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 12661    ;HD 12661 b       ;031.14287;+25.41431
HD 12661 c       ; 1.8; 1.1; 1.8; 33.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 12661    ;HD 12661 c       ;031.14287;+25.41431
HD 128311 b      ; 2.5; 1.1; 2.3; 41.5; 0.2;   0.2; 1.5;  0.0; FR ;HD 128311   ;HD 128311 b      ;219.00234;+09.74652
HD 128311 c      ; 3.7; 1.1; 3.0; 53.7; 0.1;   0.1; 0.7;  0.0; FR ;HD 128311   ;HD 128311 c      ;219.00234;+09.74652
HD 130322 b      ; 1.2; 1.1; 0.1;  2.1; 0.8;   2.2; 1.9;  2.4; TL ;HD 130322   ;HD 130322 b      ;221.88636;-00.28148
HD 13189 b       ;16.2; 1.0; 5.5;141.6; 0.0;   0.0; 0.0;  0.0; FR ;HD 13189    ;HD 13189 b       ;032.41738;+32.31644
HD 134987 b      ; 1.8; 1.1; 1.8; 33.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 134987   ;HD 134987 b      ;228.36945;-25.30935
HD 136118 b      ;13.7; 1.0; 5.1;128.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 136118   ;HD 136118 b      ;229.73113;-01.59239
HD 141937 b      ;11.2; 1.0; 4.9;112.0; 0.0;   0.0; 0.0;  0.0; FR ;HD 141937   ;HD 141937 b      ;238.07311;-18.43606
HD 142 b         ; 1.2; 1.1; 1.2; 24.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 142      ;HD 142 b         ;001.57990;-49.07519
HD 142022 A b    ; 5.1; 1.1; 3.6; 66.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 142022A  ;HD 142022b       ;242.56260;-84.23161
HD 142415 b      ; 1.9; 1.1; 1.8; 33.8; 0.1;   0.0; 0.1;  0.0; FR ;HD 142415   ;HD 142415 b      ;239.41996;-60.20026
HD 147513 b      ; 1.2; 1.0; 1.2; 24.5; 0.2;   0.3; 2.1;  0.1; FR ;HD 147513   ;HD 147513 b      ;246.00537;-39.19298
HD 149026 b      ; 0.3; 0.7; 0.1;  4.1; 1.2;   7.5; 0.0;  0.5; TL ;HD 149026   ;HD 149026 b      ;247.62341;+38.34731
HD 149143 b      ; 1.5; 1.1; 0.3;  4.5; 0.8;  11.3; 0.0;  1.3; TL ;HD 149143   ;HD 149143 b      ;248.21271;+02.08483
HD 150706 b      ; 1.2; 1.1; 1.2; 24.4; 0.1;   0.0; 0.2;  0.0; FR ;HD 150706   ;HD 150706 b      ;247.82327;+79.78977
HD 154857 b      ; 2.1; 1.1; 2.0; 36.3; 0.1;   0.0; 0.0;  0.0; FR ;HD 154857   ;HD 154857 b      ;257.81551;-56.68080
HD 160691 b      ; 1.9; 1.1; 1.9; 34.6; 0.0;   0.0; 0.0;  0.0; FR ;HD 160691   ;HD 160691 b      ;266.03626;-51.83405
HD 160691 c      ; 3.6; 1.1; 2.9; 52.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 160691   ;HD 160691 c      ;266.03626;-51.83405
HD 160691 d      ; 0.1; 0.7; 0.0;  0.0; 0.3;  45.0; 0.6; 93.3; TL ;HD 160691   ;HD 160691 d      ;266.03626;-51.83405
HD 160691 e      ; 0.6; 1.0; 0.6; 15.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 160691   ;HD 160691 e      ;266.03626;-51.83405
HD 16141 b       ; 0.3; 0.8; 0.2;  8.5; 0.0;   0.0; 0.0;  0.1;(FR);HD 16141    ;HD 16141 b       ;038.83292;-03.56056
HD 16141 b       ; 0.3; 0.8; 0.0;  0.6; 0.0;   0.0; 0.0;  0.1;(TL);HD 16141    ;HD 16141 b       ;038.83292;-03.56056
HD 162020 b      ;15.9; 1.0; 5.4;140.8; 0.4;   8.7; 0.0;  1.1;(FR);HD 162020   ;HD 162020 b      ;267.65982;-40.31835
HD 162020 b      ;15.9; 1.0; 1.2; 31.2; 0.4;  14.4; 0.0;  1.9;(TL);HD 162020   ;HD 162020 b      ;267.65982;-40.31835
HD 164922 b      ; 0.4; 0.9; 0.4; 12.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 164922   ;HD 164922 b      ;270.62859;+26.31300
HD 168443 b      ; 9.3; 1.0; 4.6; 97.8; 0.1;   0.1; 0.0;  0.2;(FR);HD 168443   ;HD 168443 b      ;275.01638;-09.59572
HD 168443 b      ; 9.3; 1.0; 0.4;  8.2; 0.1;   0.2; 0.0;  0.4;(TL);HD 168443   ;HD 168443 b      ;275.01638;-09.59572
HD 168443 c      ;20.9; 0.9; 5.5;172.8; 0.0;   0.0; 0.0;  0.0; FR ;HD 168443   ;HD 168443 c      ;275.01638;-09.59572
HD 168746 b      ; 0.3; 0.9; 0.0;  0.9; 0.5;  11.9; 0.1;  2.1; TL ;HD 168746   ;HD 168746 b      ;275.45743;-11.92268
HD 169830 b      ; 3.3; 1.1; 2.9; 49.3; 0.1;   0.0; 0.0;  0.0; FR ;HD 169830   ;HD 169830 b      ;276.95618;-29.81687
HD 169830 c      ; 4.7; 1.1; 3.4; 62.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 169830   ;HD 169830 c      ;276.95618;-29.81687
HD 177830 b      ; 1.5; 1.1; 1.5; 28.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 177830   ;HD 177830 b      ;286.33625;+25.92056
HD 178911 B b    ; 7.3; 1.1; 4.2; 83.2; 0.1;   0.0; 0.0;  0.0; FR ;HD 178911B  ;HD 178911 B b    ;286.80467;+34.51561
HD 179949 b      ; 1.1; 1.1; 0.3;  4.1; 2.1; 144.9; 1.9; 10.2; TL ;HD 179949   ;HD 179949 b      ;288.88845;-24.17935
HD 183263 b      ; 4.3; 1.1; 3.3; 58.6; 0.0;   0.0; 0.0;  0.0; FR ;HD 183263   ;HD 183263 b      ;292.10239;+08.35805
HD 185269 b      ; 1.1; 1.1; 0.1;  2.4; 0.8;  20.0; 0.1;  2.5; TL ;HD 185269   ;HD 185269 b      ;294.29892;+28.49986
HD 187085 b      ; 0.9; 1.0; 0.9; 20.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 187085   ;HD 187085 b      ;297.39153;-37.78055
HD 187123 b      ; 0.6; 1.0; 0.1;  2.6; 0.9;  53.5; 0.1;  3.4; TL ;HD 187123   ;HD 187123 b      ;296.74214;+34.41952
HD 188015 b      ; 1.5; 1.1; 1.5; 28.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 188015   ;HD 188015 b      ;298.01893;+28.10038
HD 188753A b     ; 1.3; 1.1; 0.3;  4.7; 0.8;  43.5; 0.1;  3.3; TL ;HD 188753A  ;HD 188753A b     ;298.74333;+41.87139
HD 189733 b      ; 1.1; 1.1; 0.3;  6.0; 0.9; 915.6; 0.4; 32.3; TL ;HD 189733   ;HD 189733 b      ;300.18214;+22.71085
HD 190228 b      ; 5.8; 1.1; 3.8; 71.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 190228   ;HD 190228 b      ;300.75322;+28.30686
HD 190360 b      ; 1.7; 1.1; 1.7; 32.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 190360   ;HD 190360 b      ;300.90586;+29.89681
HD 190360 c      ; 0.1; 0.6; 0.0;  2.0; 0.2;   0.6; 0.1;  1.3;(FR);HD 190360   ;HD 190360 c      ;300.90586;+29.89681
HD 190360 c      ; 0.1; 0.6; 0.0;  0.2; 0.2;   1.1; 0.1;  2.6;(TL);HD 190360   ;HD 190360 c      ;300.90586;+29.89681
HD 192263 b      ; 0.8; 1.0; 0.8; 18.7; 0.8;   0.1; 5.0;  0.7;(FR);HD 192263   ;HD 192263 b      ;303.49935;-00.86688
HD 192263 b      ; 0.8; 1.0; 0.1;  2.4; 0.8;   0.3; 9.9;  1.4;(TL);HD 192263   ;HD 192263 b      ;303.49935;-00.86688
HD 195019 b      ; 4.3; 1.1; 3.4; 57.3; 0.2;   0.2; 0.0;  0.7;(FR);HD 195019   ;HD 195019 b      ;307.07750;+18.76944
HD 195019 b      ; 4.3; 1.1; 0.5;  8.6; 0.2;   0.5; 0.1;  1.3;(TL);HD 195019   ;HD 195019 b      ;307.07750;+18.76944
HD 196050 b      ; 3.5; 1.1; 2.9; 51.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 196050   ;HD 196050 b      ;309.46546;-60.63448
HD 196885 b      ; 2.1; 1.1; 2.1; 36.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 196885   ;HD 196885 b      ;309.96615;+11.24965
HD 19994 b       ; 2.3; 1.1; 2.2; 38.8; 0.0;   0.0; 0.0;  0.0; FR ;HD 19994    ;HD 19994 b       ;048.19333;-01.19611
HD 202206 b      ;20.1; 0.9; 5.5;167.4; 0.1;   0.0; 0.0;  0.0; FR ;HD 202206   ;HD 202206 b      ;318.74071;-20.78921
HD 202206 c      ; 2.8; 1.1; 2.5; 44.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 202206   ;HD 202206 c      ;318.74071;-20.78921
HD 20367 b       ; 1.2; 1.1; 1.3; 25.6; 0.1;   0.0; 0.2;  0.0; FR ;HD 20367    ;HD 20367 b       ;049.41686;+31.12705
HD 2039 b        ; 5.6; 1.1; 3.8; 70.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 2039     ;HD 2039 b        ;006.08449;-56.65005
HD 20782 b       ; 2.1; 1.1; 2.0; 36.5; 0.2;   0.3; 0.0;  0.4;(FR);HD 20782    ;HD 20782 b       ;050.01491;-28.85407
HD 20782 b       ; 2.1; 1.1; 0.1;  1.0; 0.2;   1.1; 0.1;  1.3;(TL);HD 20782    ;HD 20782 b       ;050.01491;-28.85407
HD 208487 b      ; 0.5; 1.0; 0.5; 13.4; 0.1;   0.0; 0.0;  0.0;(FR);HD 208487   ;HD 208487 b      ;329.33270;-37.76362
HD 208487 b      ; 0.5; 1.0; 0.0;  0.7; 0.1;   0.0; 0.0;  0.1;(TL);HD 208487   ;HD 208487 b      ;329.33270;-37.76362
HD 209458 b      ; 0.7; 1.4; 0.1;  0.6; 0.8; 152.4; 0.2;  9.8; TL ;HD 209458   ;HD 209458 b      ;330.79500;+18.88444
HD 210277 b      ; 1.4; 1.1; 1.4; 28.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 210277   ;HD 210277 b      ;332.37444;-07.54865
HD 212301 b      ; 0.5; 1.0; 0.1;  2.6; 1.0;  79.2; 0.1;  3.8; TL ;HD 212301   ;HD 212301 b      ;336.87883;-77.71792
HD 213240 b      ; 5.2; 1.1; 3.6; 66.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 213240   ;HD 213240 b      ;337.75153;-49.43327
HD 216435 b      ; 1.7; 1.1; 1.7; 32.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 216435   ;HD 216435 b      ;343.40805;-48.59829
HD 216437 b      ; 2.4; 1.1; 2.3; 40.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 216437   ;HD 216437 b      ;343.66451;-70.07371
HD 216770 b      ; 0.8; 1.0; 0.8; 17.9; 0.1;   0.0; 0.0;  0.1;(FR);HD 216770   ;HD 216770 b      ;343.97379;-26.65876
HD 216770 b      ; 0.8; 1.0; 0.0;  1.0; 0.1;   0.0; 0.0;  0.1;(TL);HD 216770   ;HD 216770 b      ;343.97379;-26.65876
HD 217107 b      ; 1.5; 1.1; 0.2;  3.1; 0.3;  13.9; 0.0;  2.6; TL ;HD 217107   ;HD 217107 b      ;344.56476;-02.39538
HD 217107 c      ; 2.9; 1.1; 2.6; 45.6; 0.0;   0.0; 0.0;  0.0; FR ;HD 217107   ;HD 217107 c      ;344.56476;-02.39538
HD 219449 b      ; 3.3; 1.1; 2.9; 49.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 219449   ;HD 219449 b      ;348.97289;-09.08774
HD 222582 b      ; 5.9; 1.1; 3.9; 72.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 222582   ;HD 222582 b      ;355.46471;-05.98576
HD 224693 b      ; 0.8; 1.0; 0.8; 17.7; 0.1;   0.0; 0.0;  0.0;(FR);HD 224693   ;HD 224693 b      ;359.97430;-22.42811
HD 224693 b      ; 0.8; 1.0; 0.1;  2.2; 0.1;   0.0; 0.0;  0.0;(TL);HD 224693   ;HD 224693 b      ;359.97430;-22.42811
HD 23079 b       ; 3.0; 1.1; 2.6; 46.6; 0.0;   0.0; 0.0;  0.0; FR ;HD 23079    ;HD 23079 b       ;054.92956;-52.91584
HD 23596 b       ; 8.3; 1.0; 4.4; 91.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 23596    ;HD 23596 b       ;057.00156;+40.53064
